order_date,net_revenue,qty
2025-11-08,0.0,0
2025-11-09,0.0,0
2025-11-10,0.0,0
2025-11-11,0.0,0
2025-11-12,0.0,0
2025-11-13,0.0,0
2025-11-14,0.0,0
2025-11-15,0.0,0
2025-11-16,0.0,0
2025-11-17,0.0,0
2025-11-18,0.0,0
2025-11-19,0.0,0
2025-11-20,0.0,0
2025-11-21,0.0,0
2025-11-22,0.0,0
2025-11-23,0.0,0
2025-11-24,0.0,0
2025-11-25,0.0,0
2025-11-26,0.0,0
2025-11-27,0.0,0
2025-11-28,0.0,0
2025-11-29,0.0,0
2025-11-30,0.0,0
2025-12-01,806.0699999999999,15
2025-12-02,402.75000000000006,9
2025-12-03,319.9905,7
2025-12-04,475.3035,9
2025-12-05,295.98199999999997,7
2025-12-06,325.6685,6
2025-12-07,346.065,9
