order_id,order_date,store_id,customer_id,product_id,qty,unit_price,promo_code,line_total,payment_method
300001,2024-01-01,201,5067,1009,1,36.48,WELCOME10,32.83,Card
300002,2024-01-01,201,5065,1019,1,51.61,,51.61,Card
300003,2024-01-01,202,5033,1012,1,44.49,,44.49,Tabby
300004,2024-01-01,204,5040,1009,1,35.1,WEEKEND5,33.34,Tabby
300005,2024-01-01,201,5074,1007,1,34.26,,34.26,Tabby
300006,2024-01-01,203,5043,1014,1,48.34,,48.34,Cash
300007,2024-01-01,201,5044,1020,1,56.56,,56.56,Tabby
300008,2024-01-01,202,5029,1019,2,52.11,,104.22,Card
300009,2024-01-01,202,5013,1026,1,73.49,,73.49,Tabby
300010,2024-01-01,202,5012,1015,1,40.88,WELCOME10,36.79,Card
300011,2024-01-01,204,5095,1016,3,43.9,WEEKEND5,125.11,Card
300012,2024-01-01,201,5046,1021,1,70.58,WELCOME10,63.52,Card
300013,2024-01-01,204,5002,1005,2,31.46,BUNDLE15,53.48,ApplePay
300014,2024-01-01,204,5035,1003,1,26.19,,26.19,ApplePay
300015,2024-01-01,202,5087,1012,1,43.79,WELCOME10,39.41,ApplePay
300016,2024-01-01,202,5081,1025,1,78.7,,78.7,Cash
300017,2024-01-01,204,5090,1020,1,56.13,,56.13,Card
300018,2024-01-01,201,5008,1021,3,71.7,WELCOME10,193.59,ApplePay
300019,2024-01-01,203,5093,1004,3,35.44,WEEKEND5,101.0,Card
300020,2024-01-01,204,5026,1021,2,76.11,,152.22,Card
300021,2024-01-01,201,5074,1023,1,79.38,,79.38,ApplePay
300022,2024-01-01,202,5090,1016,1,47.47,WELCOME10,42.72,Cash
300023,2024-01-01,202,5034,1025,1,73.14,,73.14,Card
300024,2024-01-01,201,5007,1007,1,35.78,,35.78,Card
300025,2024-01-01,203,5068,1013,1,53.59,,53.59,ApplePay
300026,2024-01-01,202,5058,1021,1,78.12,,78.12,Card
300027,2024-01-01,202,5075,1010,1,44.58,,44.58,Card
300028,2024-01-01,202,5029,1026,1,76.33,,76.33,Cash
300029,2024-01-01,201,5036,1007,1,32.69,WEEKEND5,31.06,Card
300030,2024-01-01,204,5089,1014,1,45.25,,45.25,Card
300031,2024-01-01,202,5021,1026,1,81.09,,81.09,Card
300032,2024-01-01,204,5036,1005,1,35.87,WEEKEND5,34.08,Card
300033,2024-01-01,203,5010,1003,1,29.66,,29.66,Card
300034,2024-01-01,202,5073,1023,1,74.69,,74.69,Card
300035,2024-01-01,202,5024,1011,2,52.13,WELCOME10,93.83,Card
300036,2024-01-01,203,5064,1011,2,53.78,,107.56,Card
300037,2024-01-01,202,5099,1018,1,48.38,,48.38,Card
300038,2024-01-01,204,5049,1015,1,45.26,,45.26,Card
300039,2024-01-01,201,5099,1012,1,42.36,,42.36,Card
300040,2024-01-01,204,5036,1009,2,33.1,BUNDLE15,56.27,Card
300041,2024-01-01,201,5082,1010,2,44.47,,88.94,ApplePay
300042,2024-01-01,201,5096,1026,3,90.63,,271.89,Card
300043,2024-01-01,204,5024,1012,1,42.11,,42.11,Card
300044,2024-01-01,204,5023,1017,2,45.08,,90.16,Card
300045,2024-01-01,204,5062,1006,1,35.49,,35.49,Card
300046,2024-01-01,204,5096,1007,2,AED 32.86,,65.72,Card
300047,2024-01-01,203,5037,1014,1,38.04,,38.04,ApplePay
300048,2024-01-01,202,5012,1013,1,53.07,,53.07,Cash
300049,2024-01-01,201,5055,1008,1,37.95,,37.95,Card
300050,2024-01-01,204,5013,1010,1,45.06,WELCOME10,40.55,Card
300051,2024-01-01,204,5023,1009,1,39.49,,39.49,Card
300052,2024-01-01,204,5089,1018,1,48.89,,48.89,Card
300053,2024-01-01,203,5099,1026,1,83.57,,83.57,ApplePay
300054,2024-01-01,204,5030,1002,1,26.36,WEEKEND5,25.04,Card
300055,2024-01-01,204,5017,1005,1,34.99,,34.99,ApplePay
300056,2024-01-01,204,5062,1005,1,33.57,,33.57,
300057,2024-01-01,202,5084,1006,1,36.82,WELCOME10,33.14,Card
300058,2024-01-01,203,5089,1019,1,55.77,,55.77,Cash
300059,2024-01-01,204,5086,1008,2,37.42,,74.84,Card
300060,2024-01-01,201,5013,1016,1,44.51,WEEKEND5,42.28,Card
300061,2024-01-01,201,5059,1013,1,54.35,,54.35,Card
300062,2024-01-01,201,5019,1001,1,25.04,WEEKEND5,23.79,Card
300063,2024-01-01,203,5049,1022,1,74.88,,74.88,Card
300064,2024-01-01,203,5100,1020,3,50.56,,151.68,ApplePay
300065,2024-01-01,201,5012,1017,1,46.39,BUNDLE15,39.43,Card
300066,2024-01-01,204,5061,1007,2,38.18,,76.36,Card
300067,2024-01-02,201,5094,1021,1,67.57,,67.57,Card
300068,2024-01-02,203,5038,1012,1,48.34,WEEKEND5,45.92,Card
300069,2024-01-02,203,5051,1003,1,28.99,,28.99,Card
300070,2024-01-02,204,5063,1020,1,53.25,,53.25,Card
300071,2024-01-02,201,5004,1026,3,79.65,,238.95,ApplePay
300072,2024-01-02,202,5001,1022,2,69.14,,138.28,Card
300073,2024-01-02,203,5008,1012,2,43.62,,87.24,ApplePay
300074,2024-01-02,202,5029,1024,2,80.84,,161.68,ApplePay
300075,2024-01-02,202,5055,1017,1,48.63,,48.63,ApplePay
300076,2024-01-02,203,5003,1010,1,47.67,,47.67,Card
300077,2024-01-02,202,5032,1024,2,77.52,WEEKEND5,147.29,Card
300078,2024-01-02,203,5010,1014,2,40.35,,80.7,Cash
300079,2024-01-02,202,5074,1023,1,80.13,,80.13,Card
300080,2024-01-02,203,5083,1017,2,47.21,,94.42,Cash
300081,2024-01-02,201,5034,1018,2,50.81,WEEKEND5,96.54,Tabby
300082,2024-01-02,204,5097,1019,1,55.6,,55.6,Cash
300083,2024-01-02,203,5087,1017,2,47.71,,95.42,Card
300084,2024-01-02,203,5055,1014,1,42.75,,42.75,Card
300085,2024-02-01,204,5092,1009,1,37.77,,37.77,Card
300086,2024-01-02,203,5032,1008,1,35.56,WEEKEND5,33.78,Card
300087,2024-01-02,203,5050,1002,1,26.03,BUNDLE15,22.13,ApplePay
300088,2024-01-02,202,5007,1013,3,55.69,,167.07,Card
300089,2024-01-02,204,5093,1025,1,77.46,WELCOME10,69.71,Card
300090,2024-01-02,201,5008,1007,1,33.25,WELCOME10,29.93,Card
300091,2024-01-02,203,5065,1009,2,36.8,,73.6,Card
300092,2024-01-02,204,5057,1022,1,70.05,WEEKEND5,66.55,Card
300093,2024-01-02,202,5067,1022,1,74.16,,74.16,Card
300094,2024-01-02,201,5088,1011,1,43.87,,43.87,Card
300095,2024-01-02,204,5087,1014,1,42.28,WEEKEND5,40.17,Card
300096,2024-02-01,201,5059,1004,1,34.07,,34.07,Card
300097,2024-01-02,201,5072,1026,1,84.63,WELCOME10,76.17,ApplePay
300098,2024-01-02,201,5054,1026,2,AED 83.89,WELCOME10,151.0,Cash
300099,2024-01-02,203,5067,1013,2,56.26,,112.52,ApplePay
300100,2024-01-02,203,5051,1002,1,27.07,,27.07,ApplePay
300101,2024-01-02,202,5097,1023,2,75.5,,151.0,Cash
300102,2024-01-02,202,5092,1005,1,34.45,,34.45,Card
300103,2024-01-02,204,5008,1011,1,47.33,WELCOME10,42.6,Tabby
300104,2024-01-02,202,5034,1006,1,38.9,WEEKEND5,36.95,ApplePay
300105,2024-01-02,201,5035,1018,1,49.47,,49.47,Card
300106,2024-01-02,201,5096,1021,2,64.43,,128.86,ApplePay
300107,2024-01-02,203,5088,1010,1,44.51,WELCOME10,40.06,Card
300108,2024-01-02,201,5078,1004,1,31.92,WELCOME10,28.73,Card
300109,2024-01-02,204,5032,1009,1,35.1,,35.1,Cash
300110,2024-01-02,201,5046,1006,2,38.74,,77.48,Card
300111,2024-01-02,201,5016,1002,1,28.47,,28.47,Card
300112,2024-01-02,204,5068,1017,1,50.99,,50.99,Card
300113,2024-01-02,202,5037,1005,2,32.25,WEEKEND5,61.27,Tabby
300114,2024-01-02,202,5054,1025,1,81.03,WELCOME10,72.93,ApplePay
300115,2024-01-02,204,5085,1006,2,37.86,,75.72,ApplePay
300116,2024-01-02,203,5014,1026,2,87.36,,174.72,Card
300117,2024-01-02,201,5095,1012,3,AED 42.30,,126.9,Card
300118,2024-01-02,204,5055,1023,2,69.39,WELCOME10,124.9,Card
300119,2024-01-02,201,5048,1021,1,69.24,,69.24,Cash
300120,2024-01-02,203,5082,1010,2,46.65,,93.3,Card
300121,2024-01-02,201,5007,1022,1,73.1,,73.1,Card
300122,2024-02-01,204,5074,1021,1,67.74,,67.74,Card
300123,2024-02-01,201,5007,1025,1,75.94,,75.94,ApplePay
300124,2024-01-02,202,5033,1006,1,35.78,,35.78,Cash
300125,2024-01-02,203,5023,1008,1,35.97,,35.97,Cash
300126,2024-01-02,203,5085,1002,2,26.78,WELCOME10,48.2,ApplePay
300127,2024-01-02,203,5019,1012,1,46.66,,46.66,Card
300128,2024-01-02,204,5019,1013,1,51.65,,51.65,Card
300129,2024-01-02,203,5036,1025,1,78.67,BUNDLE15,66.87,Card
300130,2024-01-02,202,5029,1021,2,73.03,,146.06,
